timestamp,x,y,vx,vy,v,beta,yaw
4.456,0.873049882540948,-1.4999991704731719,0.0002437910374833973,-1.2063322126067571e-05,0.0002440893150015963,-0.049441895187055586,-7.624194633914069e-07,7.269599118588286e-07
4.49,0.8730237234354679,-1.4999991646097255,0.0002419266015972115,-1.206334980350463e-05,0.00024222717636313563,-0.049822411276500216,-7.683672856688799e-07,7.269065877910884e-07
4.524,0.8729975016275929,-1.4999991587464394,0.00024010247779112696,-1.2062979948805598e-05,0.00024040531468061163,-0.05019875594495449,-7.743133984553199e-07,7.316905846146204e-07
4.558,0.8729712184755075,-1.499999152882888,0.00023831793383469625,-1.2062873654289118e-05,0.00023862303012919353,-0.050573565155888005,-7.80261162858851e-07,7.317659330701455e-07
4.592,0.8729448753132847,-1.4999991470190326,0.00023657228689166217,-1.206281857720672e-05,0.0002368796287509281,-0.05094586798520158,-7.862086192041713e-07,7.329338278190668e-07
4.626,0.872918473450663,-1.4999991411551434,0.000234864797801008,-1.2062782182755386e-05,0.00023517436926692706,-0.05131544713515388,-7.921568491580227e-07,7.329597841770981e-07
4.66,0.8728920141735507,-1.499999135290977,0.00023319479574469642,-1.206280421328958e-05,0.00023350658236524904,-0.05168238026050884,-7.981049451811802e-07,7.329364500491292e-07
4.694,0.8728654987455305,-1.499999129426692,0.00023156160971018474,-1.2062886634561445e-05,0.00023187559665805758,-0.052046591436133,-8.040535829031645e-07,7.317374704985664e-07
4.728,0.872838928406345,-1.4999991235623946,0.00022996457399197074,-1.2062919239739804e-05,0.0002302807402104941,-0.05240752178003902,-8.100019138993055e-07,7.317117880007082e-07
4.7620000000000005,0.8728123043738774,-1.4999991176976413,0.0002284030219209428,-1.2062855720813001e-05,0.00022872134336515216,-0.05276488321625865,-8.159497231472343e-07,7.330154126253161e-07
4.796,0.8727856278439139,-1.499999111832511,0.00022687632798060685,-1.2062789323896294e-05,0.00022719678493375868,-0.05311899100074714,-8.218973469080656e-07,7.329358442601566e-07
4.83,0.8727588999904645,-1.4999991059677484,0.00022538384877048926,-1.2062794255026375e-05,0.00022570642501231077,-0.053470095929034143,-8.278457869193647e-07,7.329154957584873e-07
4.864,0.8727321219661942,-1.4999991001027713,0.00022392495147663383,-1.20633294996113e-05,0.00022424965509991094,-0.05382017313907696,-8.337971938329761e-07,7.269391493856148e-07
4.898,0.8727052949033218,-1.4999990942367012,0.00022249907133393065,-1.2063327316551133e-05,0.0002228258526527113,-0.05416439663931092,-8.3974470430981e-07,7.269662350486496e-07
4.932,0.8726784199136692,-1.4999990883715932,0.00022110556631617454,-1.2063334436558357e-05,0.00022143440449425315,-0.05450512313544166,-8.456932545881899e-07,7.269456364612826e-07
4.966,0.8726514980874088,-1.4999990825049494,0.00021974386284854533,-1.2063226857715516e-05,0.0002200747298119914,-0.05484171631996622,-8.516403696035936e-07,7.281746017908852e-07
5.0,0.8726245304966244,-1.4999990766391855,0.00021841338772523566,-1.206321728252416e-05,0.00021874626659401417,-0.05517506788345689,-8.575889538848872e-07,7.28173014643461e-07
5.034,0.8725975181931701,-1.4999990707725401,0.00021711354947890184,-1.2063323519328526e-05,0.00021744842409559916,-0.05550520758000924,-8.635373571529374e-07,7.269836052767222e-07
5.068,0.8725704622093237,-1.4999990649064192,0.00021584383287240433,-1.2063355376719213e-05,0.00021618067612993406,-0.055831191904223365,-8.694858056214946e-07,7.269554187387362e-07
5.102,0.8725433635599408,-1.4999990590391523,0.0002146036579077061,-1.2063195508840118e-05,0.00021494243572001376,-0.0561524168052595,-8.754332753120978e-07,7.281993272337977e-07
5.136,0.8725162232395176,-1.4999990531729375,0.00021339249135133925,-1.2062839740132313e-05,0.0002137331688524912,-0.0564687878587909,-8.813797374381115e-07,7.328425240685504e-07
5.17,0.8724890422259115,-1.4999990473048506,0.00021220979643760043,-1.206286375305862e-05,0.00021255237092540903,-0.05678294025315104,-8.873275939746153e-07,7.317356840007689e-07
5.204,0.8724618214787033,-1.4999990414378412,0.00021105508248388884,-1.2062932829889146e-05,0.0002113995321440886,-0.05709326161386787,-8.932761799236792e-07,7.316599163556969e-07
5.2379999999999995,0.8724345619393145,-1.4999990355705193,0.000209927794542063,-1.2062756627408123e-05,0.00021027408071073975,-0.05739833806979195,-8.992237278127985e-07,7.329057596551334e-07
5.272,0.8724072645327592,-1.4999990297022394,0.00020882746678403045,-1.2062829037399547e-05,0.00020917557870798608,-0.057700450789044753,-9.051718018886836e-07,7.328704735845772e-07
5.306,0.8723799301665782,-1.4999990238348995,0.0002077535843410652,-1.206286821095025e-05,0.0002081034949154743,-0.057998226821722246,-9.111208291807391e-07,7.317166193561902e-07
5.34,0.872352559731563,-1.4999990179665126,0.00020670566336799712,-1.2062914019501952e-05,0.00020705734752248143,-0.05829181322799477,-9.170689128466887e-07,7.316543455935497e-07
5.374,0.8723251541033785,-1.4999990120989009,0.00020568324548765843,-1.2063201223564046e-05,0.00020603669163063302,-0.05858230305504886,-9.230194335170686e-07,7.281962722938257e-07
5.408,0.8722977141402389,-1.4999990062295903,0.00020468585557764505,-1.2063208910865083e-05,0.00020504102146346167,-0.058867141950630586,-9.289668491033823e-07,7.282113952625746e-07
5.442,0.8722702406848089,-1.499999000361339,0.00020371301086918395,-1.2063338960052671e-05,0.00020406987760140737,-0.05914824831856244,-9.349159708291269e-07,7.269981525282723e-07
5.476,0.8722427345646863,-1.4999989944921128,0.00020276429470507466,-1.2063324819371595e-05,0.00020312282740485874,-0.059424278692164295,-9.408640594486736e-07,7.270126081239279e-07
5.51,0.8722151965921459,-1.499998988622879,0.0002018392183411524,-1.2063214310909913e-05,0.0002021993847668146,-0.05969544339151404,-9.468116499537604e-07,7.282213492025005e-07
5.5440000000000005,0.8721876275638586,-1.4999989827541593,0.00020093738521036354,-1.2063285887078508e-05,0.00020129916950045127,-0.05996307891948818,-9.527608138747064e-07,7.270221947552769e-07
5.578,0.8721600282631623,-1.4999989768843844,0.00020005835759538955,-1.2062981096325923e-05,0.00020042171029281005,-0.06022439481618751,-9.587067558050632e-07,7.316075153383966e-07
5.612,0.8721323994574137,-1.4999989710144235,0.00019920169498137565,-1.2062747351172868e-05,0.000199566593289336,-0.06048158959169529,-9.64654020013009e-07,7.329098614513733e-07
5.646,0.8721047419004858,-1.499998965144658,0.0001983670216752214,-1.2062827265382937e-05,0.00019873345739943293,-0.06073585661680034,-9.706024729912826e-07,7.328260029461219e-07
5.68,0.8720770563322081,-1.4999989592743321,0.0001975538879054235,-1.2062895653958256e-05,0.00019792183325269326,-0.060985572783643145,-9.765510751607188e-07,7.316740112362801e-07
5.713,0.8720493434787412,-1.4999989534047287,0.00019676189963558404,-1.2062770296928937e-05,0.0001971313155625968,-0.06122979983809413,-9.824991103758665e-07,7.328523082780648e-07
5.748,0.8720216040528508,-1.499998947533798,0.0001959906930647373,-1.206280924660725e-05,0.00019636156226440066,-0.061470326549410675,-9.884471503428593e-07,7.328320867931306e-07
5.782,0.8719938387537073,-1.4999989416639503,0.0001952398725349867,-1.2063326335365451e-05,0.00019561219713952238,-0.061708758692927225,-9.943988501506669e-07,7.270150859734771e-07
5.8149999999999995,0.8719660482679522,-1.4999989357924457,0.0001945090354419073,-1.2063192393470841e-05,0.00019488274802881614,-0.06193934219262449,-1.0003458321524852e-06,7.282692581585068e-07
5.85,0.8719382332690048,-1.4999989299215435,0.00019379782994480806,-1.206321542480087e-05,0.00019417291278059847,-0.062166183443404265,-1.00629440333863e-06,7.282159932563888e-07
5.884,0.8719103944185731,-1.4999989240502734,0.0001931058908987181,-1.2063289075967946e-05,0.00019348231971712037,-0.06238874133910838,-1.0122430075032797e-06,7.270440517851395e-07
5.918,0.8718825323642664,-1.4999989181789632,0.00019243284747084215,-1.2063210615931809e-05,0.00019281058538394807,-0.0626059741755553,-1.018190949659396e-06,7.282431380012814e-07
5.952,0.8718546477433925,-1.49999891230714,0.00019177834064058947,-1.2062889234290053e-05,0.00019215734499502412,-0.06281740779830765,-1.0241368785557726e-06,7.327574505918474e-07
5.986,0.8718267411801427,-1.4999989064352826,0.00019114204537036525,-1.2062869896565316e-05,0.00019152230767852666,-0.06302586830849419,-1.0300856311495945e-06,7.316950092145511e-07
6.02,0.871798813288502,-1.4999989005634549,0.000190523611669058,-1.2062808209297514e-05,0.00019090510193631887,-0.06322958186329118,-1.0360334182490734e-06,7.328072372290313e-07
6.054,0.8717708646688495,-1.4999988946912244,0.00018992269356785303,-1.2062990568298784e-05,0.00019030540001145388,-0.06343006215672585,-1.041982716274006e-06,7.317201333314876e-07
6.088,0.8717428959118247,-1.4999988888186793,0.00018933897927712653,-1.206291993498597e-05,0.00018972285869410158,-0.06362471302995275,-1.0479303947281753e-06,7.316345748624852e-07
6.122,0.8717149075970702,-1.499998882946259,0.00018877213088563867,-1.2063314634285191e-05,0.00018915718585100187,-0.06381733134916451,-1.0538805566503752e-06,7.281798850344326e-07
6.156,0.871686900291869,-1.499998877074054,0.00018822183240832158,-1.2063268611005976e-05,0.00018860800790191168,-0.06400316024633473,-1.0598297076285957e-06,7.27126814984074e-07
6.19,0.8716588745540047,-1.4999988712006334,0.00018768777990996728,-1.2063327697365255e-05,0.00018807505576940906,-0.06418509123805326,-1.0657776423405185e-06,7.270333372743308e-07
6.224,0.8716308309304449,-1.4999988653278324,0.00018716966147977034,-1.2063182953466216e-05,0.00018755799786045015,-0.06436150708919215,-1.0717255994323767e-06,7.282695452682489e-07
6.258,0.8716027699577062,-1.4999988594544513,0.00018666716991326047,-1.20632983823178e-05,0.00018705655693208642,-0.06453489839592665,-1.077674367433541e-06,7.270672449856987e-07
6.292,0.8715746921625803,-1.4999988535808406,0.00018618003199360312,-1.2062868087286776e-05,0.0001865704078883636,-0.06470098143332834,-1.0836201741482092e-06,7.327695559068676e-07
6.326,0.871546598060963,-1.4999988477073092,0.00018570792171639623,-1.20629604598577e-05,0.00018609929393546671,-0.06486550043549169,-1.0895692463161605e-06,7.317280991298274e-07
6.36,0.8715184881596517,-1.4999988418330161,0.00018525056749871965,-1.2062934311451859e-05,0.00018564290221497856,-0.06502505201077508,-1.0955169390390921e-06,7.316042666193068e-07
6.394,0.8714903629559276,-1.4999988359593412,0.0001848076933566232,-1.206278014964032e-05,0.00018520095623061512,-0.0651796073053946,-1.1014649396411022e-06,7.328045790948246e-07
6.428,0.871462222937095,-1.4999988300852347,0.00018437903096173738,-1.2062896753116435e-05,0.0001847732137959008,-0.06533134262918121,-1.107413716063816e-06,7.31604284460916e-07
6.462,0.8714340685816316,-1.499998824211467,0.00018396429185623973,-1.2063175643949597e-05,0.00018435937970383967,-0.06547971852406774,-1.1133644986202422e-06,7.282931791320359e-07
6.496,0.8714059003586339,-1.4999988183360147,0.00018356321401621922,-1.2063362237577536e-05,0.0001839591754940191,-0.06562339113369486,-1.1193126640940533e-06,7.271519499653084e-07
6.53,0.8713777187277141,-1.4999988124616261,0.00018317554873531039,-1.206331932001555e-05,0.00018357234358012302,-0.06576164088032943,-1.125261212849511e-06,7.270675088584854e-07
6.564,0.8713495241406284,-1.4999988065860714,0.00018280102020136075,-1.2063213455753408e-05,0.00018319861927846884,-0.06589540950449577,-1.1312086473567574e-06,7.282828956239132e-07
6.598,0.8713213170396209,-1.4999988007113567,0.00018243938375497819,-1.2062990585530994e-05,0.00018283775454419366,-0.06602443402215374,-1.13715589804931e-06,7.315693806312381e-07
6.632,0.8712930978594813,-1.4999987948356999,0.00018209039551708023,-1.2062759157920667e-05,0.00018248951284407746,-0.0661493403259169,-1.1431031901720367e-06,7.328182224854651e-07
6.666,0.8712648670253783,-1.4999987889606388,0.00018175381780298776,-1.2062916169794302e-05,0.00018215368300553562,-0.06627233991774632,-1.1490524041793515e-06,7.315886448547551e-07
6.7,0.8712366249552042,-1.4999987830849433,0.0001814293948893883,-1.2062821669174744e-05,0.00018182996726764242,-0.06638997859956369,-1.1550002419970654e-06,7.328369799746507e-07
6.734,0.8712083720582207,-1.4999987772084793,0.00018111689085691256,-1.2063331696364212e-05,0.00018151818676179882,-0.06650699608670253,-1.1609503704931732e-06,7.281656487227339e-07
6.768,0.8711801087361348,-1.4999987713331504,0.00018081610110037144,-1.2063257720956327e-05,0.00018121805816193363,-0.06661689720503643,-1.166899851725498e-06,7.27150003113973e-07
6.802,0.8711518353825338,-1.4999987654564237,0.0001805267544285391,-1.2063243198344558e-05,0.00018092935334258084,-0.06672327371714737,-1.1728471161086424e-06,7.28252293125714e-07
6.836,0.8711235523838391,-1.4999987595802577,0.0001802486617433244,-1.2063282890544546e-05,0.00018065188306341201,-0.06682612951377885,-1.1787964631714414e-06,7.271314467776059e-07
